ASV,q2.id,Row.names,Domain,Phylum,Class,Order,Family,Genus,Species,ASV,syn.tree id,R2.N05B.y,R2.N05S.y,R2.N10B.y,R2.N10S.y,R2.N15B.y,R2.N15S.y,R2.N20B.y,R2.N20S.y,R2.S05B.y,R2.S05S.y,R2.S10B.y,R2.S10S.y,R2.S15B.y,R2.S15S.y,R2.S20B.y,R2.S20S.y,R3.N05S.y,R3.N10S.y,R3.N15S.y,R3.N20S.y,R3.S05S.y,R3.S10S.y,R3.S15S.y,R3.S20S.y,R4.N05B.y,R4.N05S.y,R4.N10B.y,R4.N10S.y,R4.N15B.y,R4.N15S.y,R4.N20B.y,R4.N20S.y,R4.S05B.y,R4.S05S.y,R4.S10B.y,R4.S10S.y,R4.S15B.y,R4.S15S.y,R4.S20B.y,R4.S20S.y,FL010322.y,FL011722.y,FL020121.y,FL021521.y,FL031521.y,FL032921.y,FL041221.y,FL042621.y,FL051021.y,FL052421.y,FL060721.y,FL062121.y,FL070821.y,FL071921.y,FL080221.y,FL081721.y,FL091321.y,FL092721.y,FL101121.y,FL102521.y,FL110821.y,FL112221.y,FL120621.y,FL122021.y,HPD0.POST.y,HPD0.PRE.y,HPD1.y,HPD14.y,HPD3.y,HPD7.y,asv.id
ASV1011,7e8aebdd6437f4b0871be3a277db37c9,ASV1011,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__bacterium_enrichment,ASV1011,fSyn43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001419698,0,0,0.003441156,0.006209936,0.003433476,0.002526529,0.002339572,0.001980198,0.001616488,0,0,0,0,0,0,0,0.00069541,0,0,0.002261079,0.001506024,0.003163889,ASV1011
ASV1065,85128df82f9890cb3cd720a75a32e2fd,ASV1065,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1065,fSyn42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003494347,0.003682918,0.003564689,0.012328285,0.005594136,0.004778338,0,0.007808341,0.005263158,0.002449343,0.00573526,0.008012821,0.003719599,0.002021223,0.007018717,0.002178218,0.00585977,0,0,0,0,0,0.003219575,0,0.003477051,0.003040601,0.002749919,0.027132951,0.005522088,0.013710188,ASV1065
ASV1066,858c138bbe7fc49c7f1f5266884557c5,ASV1066,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1066,fSyn41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002672148,0,0,0,0.003279321,0,0,0.006388642,0.013684211,0.003340013,0.008947006,0.009014423,0.005579399,0.006316321,0.007854278,0.004158416,0.004243281,0,0,0,0,0,0.002897618,0,0,0,0,0.005275852,0.002342704,0.004429445,ASV1066
ASV1097,879b2b3749a699a4dc2471d7af228cc3,ASV1097,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1097,fSyn40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002449343,0.009864648,0.008814103,0.005007153,0.004042446,0.010360963,0.002376238,0.003030915,0,0,0,0,0,0.002414681,0,0,0,0,0.00437142,0.003012048,0,ASV1097
ASV1107,88a8d78cb9d4ca38e9f826fb0b238614,ASV1107,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1107,fSyn39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001438849,0,0.001048438,0.005988024,0.000385802,0.001592779,0,0,0,0.001558673,0.002294104,0,0.000858369,0,0,0,0,0,0,0,0,0,0,0,0.001043115,0,0,0,0,0.003163889,ASV1107
ASV1151,8f2c91f5af1c9f08a83bcbd28b981242,ASV1151,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,s__uncultured_cyanobacterium,ASV1151,mSyn24,0.001650528,0,0.002263765,0.001273664,0,0,0,0,0.003078727,0.003173786,0,0,0,0.00148102,0,0,0.003465583,0.003295841,0.002178393,0.004269499,0.005280728,0.003154718,0.001989201,0.002492955,0,0,0.003670337,0.002463714,0,0.001673513,0,0,0.002109705,0.00344143,0.004432513,0.001885488,0.001849532,0.001191557,0.001440523,0.003072378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1151
ASV1170,90f953b5151b2863a9852dd2a31a6ca1,ASV1170,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,s__uncultured_cyanobacterium,ASV1170,mSyn23,0,0,0.002044691,0.001447346,0,0,0,0.000612276,0,0,0,0,0,0,0,0,0.00543738,0.003243526,0.003709155,0.005883578,0.006555387,0.004206291,0.004035237,0.002709733,0,0,0.002502503,0.003427776,0.005618628,0.00141995,0,0,0.002109705,0.002581072,0.004557373,0.003456728,0.002386492,0.001134816,0.002936451,0.003131462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1170
ASV1195,939ca2257608f701003b588f8a5fa3b8,ASV1195,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,f__Cyanobiaceae Family,f__Cyanobiaceae Family,ASV1195,mSyn22,0.000110035,0,0.009931357,0.010768251,0.006358745,0.010423539,0.010014409,0.017679473,0.002565606,0.001029336,0.004041783,0.0034868,0.01150777,0.017616338,0.009616852,0.014866547,0.00083652,0.001203244,0.001354136,0.001614079,0.001335357,0.001051573,0,0.000758725,0,0,0.00094539,0.001124739,0.00173772,0.00101425,0.001477014,0.001201682,0.000461498,0,0.000374579,0.001382691,0.001014259,0.001078075,0.001495928,0.001536189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1195
ASV1267,9c5db6d0dccc8e4a4f53417012c72571,ASV1267,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_cyanobacterium,ASV1267,mSyn21,0.004841549,0.004023821,0,0.000521044,0,0,0,0,0.001246152,0.001544004,0.000892342,0.000640433,0,0,0,0,0.00167304,0.000993984,0,0,0.003277693,0.001234455,0,0,0.002298322,0.001274649,0.001056612,0.00053559,0,0,0.000492338,0,0,0,0.000811587,0,0.000715948,0.001191557,0,0.001181684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1267
ASV1280,9e4700414842f482598ca47f2f7dcd4c,ASV1280,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,g__Synechococcus_CC9902 Genus,ASV1280,mSyn20,0.006932218,0.00338001,0.028552651,0.0346784,0.011948851,0.014777675,0.011239193,0.013623144,0.052778185,0.045977011,0.03532623,0.040560734,0.010583788,0.009977395,0.005266372,0.006914673,0.012249044,0.011404656,0.006240801,0.009320004,0.024097117,0.025420629,0.002046036,0.008020811,0.000612886,0,0.03242131,0.032028279,0.013322521,0.030427506,0.0246169,0.023232526,0.00534019,0.005228326,0.018541641,0.016026648,0.043076189,0.038697231,0.03817386,0.035391433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV1280
