row.names,asv.id,q2.id,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
ASV1,ASV1,002bf5a8e7ad4fdbb79de46f280cb3c5,1,d__Bacteria,p__Chloroflexi,c__SL56_marine_group,o__SL56_marine_group,f__SL56_marine_group,g__SL56_marine_group,,ASV1
ASV2,ASV2,00369b836fc14c1e3b991a2785643f68,0.792884972,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__Candidatus_Puniceispirillum,,ASV2
ASV3,ASV3,005af59ffacc9bf77af585b9cd8f4553,0.905194586,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,s__bacterium_enrichment,ASV3
ASV4,ASV4,007df113f28bab5a835b812e9f8f443f,0.99931868,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aureitalea,s__Aureitalea_marina,ASV4
ASV5,ASV5,0093378917bf265169c7545d46e7b326,0.967881001,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__SAR86_clade,g__SAR86_clade,s__bacterium_WHC7-12,ASV5
ASV6,ASV6,00acd7c50b7ee290bbeb7acb63f297e9,0.998892458,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV6
ASV7,ASV7,00b0bc5299bff845ca6e103532e999d8,0.970487965,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__uncultured_Verrucomicrobiales,ASV7
ASV8,ASV8,00c672bfe10d8d316c12d75c1132ce5f,0.996781202,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,s__marine_metagenome,ASV8
ASV9,ASV9,00e27f72a9d6da4595537be102f83db1,0.944849258,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__Polynucleobacter_acidiphobus,ASV9
ASV10,ASV10,013026169e9bccc9b96e6c2a03abf4dc,0.919211193,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__marine_metagenome,ASV10
ASV11,ASV11,015461aafc6e384f693630f6f7578cfa,0.999999101,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Dolichospermum_NIES41,,ASV11
ASV12,ASV12,0168c2ea2fe32360182d17f2f18f5baa,0.975391601,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__env.OPS_17,s__uncultured_bacterium,ASV12
ASV13,ASV13,01811e8347fda836ff7d8a608d4fb2c7,0.999995092,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,,ASV13
ASV14,ASV14,018255903d60373f958ebd3ff68080a7,0.954067172,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV14
ASV15,ASV15,018b5224e8e80d72cfaec4544c062cff,0.987212105,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__unidentified_marine,ASV15
ASV16,ASV16,0194455b63a97b32c75be4187cc8f4f8,0.904557167,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__uncultured,s__bacterium_enrichment,ASV16
ASV17,ASV17,019af8df0ca6456dbd3c5a9964baec69,0.826095948,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,s__uncultured_Oceanibaculum,ASV17
ASV18,ASV18,01b49d2264871750c6a03bed0ad4d4de,0.978673337,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__SAR202_clade,f__SAR202_clade,g__SAR202_clade,s__hydrothermal_vent,ASV18
ASV19,ASV19,01b88ce0de14678b1a969c526c1cf8d6,0.999305431,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,,,ASV19
ASV20,ASV20,01c3d810c6d81a229d78c76c1575945b,0.986458606,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Thioglobaceae,g__SUP05_cluster,,ASV20
ASV21,ASV21,01f3cb844163615e032465f55424621b,0.73386643,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Formosa,s__uncultured_Flavobacteriales,ASV21
ASV22,ASV22,0206368a18ebbbb42c026a7d092d76f3,0.99786802,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Prochlorotrichaceae,g__Prochlorothrix_PCC-9006,s__uncultured_bacterium,ASV22
ASV23,ASV23,021c870b07e095e86d71ccd1eccf18cd,0.77012293,d__Bacteria,p__Proteobacteria,,,,,,ASV23
ASV24,ASV24,02247669a7e2e9975d134b687e8ba16b,0.999453448,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV24
ASV25,ASV25,0233fbbfd16a48abebc1e70e8d979e19,0.999991672,d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,,ASV25
ASV26,ASV26,024691e29e3ecd9bfa226ed830c21aef,0.801060957,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__uncultured_bacterium,ASV26
ASV27,ASV27,025272fb8e93787a4d7a9a2cda6832ee,0.999752158,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,,ASV27
ASV28,ASV28,02a42f56b0d80d3d4ea322a97af51c98,0.846928272,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,,ASV28
ASV29,ASV29,02f3174dd4ac2edff59a81987af1031e,0.995977163,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_Bacteroidetes,ASV29
ASV30,ASV30,0301798347a168e93818c45e78e5f3fc,0.999977064,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__NS11-12_marine_group,g__NS11-12_marine_group,,ASV30
ASV31,ASV31,0312b25f01d8cda098ecbc372b6418fe,0.766397224,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophagaceae,s__uncultured_Chitinophagaceae,ASV31
ASV32,ASV32,031bb940f994d6c7970bcf44cd7eb74a,0.7535423,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__uncultured,,ASV32
ASV33,ASV33,032b441f4d05d38ae20fea7672f4ea6b,0.997498963,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,,ASV33
