ASV.ID,R2.N10B,R2.N10S,R2.N15B,R2.N15S,R2.N20B,R2.N20S,R2.N5B,R2.N5S,R2.S10B,R2.S10S,R2.S15B,R2.S15S,R2.S20B,R2.S20S,R2.S5B,R2.S5S,R3.N10S,R3.N15S,R3.N20S,R3.N5S,R3.S10S,R3.S15S,R3.S20S,R3.S5S,R4.N10B,R4.N10S,R4.N15B,R4.N15S,R4.N20B,R4.N20S,R4.N5B,R4.N5S,R4.S10B,R4.S10S,R4.S15B,R4.S15S,R4.S20B,R4.S20S,R4.S5B,R4.S5S,FL010322,FL011722,FL020121,FL021521,FL031521,FL032921,FL041221,FL042621,FL051021,FL052421,FL060721,FL062121,FL070821,FL071921,FL080221,FL081721,FL091321,FL092721,FL101121,FL102521,FL110821,FL112221,FL120621,FL122021,HPD0-POST,HPD0-PRE,HPD1,HPD14,HPD3,HPD7
9f9f87704f0f92bf91faafd3549e0a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,19,37,26,19,70,50,0,16,33,58,33,9,37,8,38,0,0,0,0,0,7,16,10,6,20,158,38,66
8a85efc37556eaee26067ebf6ef1ac9e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872b0bfe1845e2bc63a7ecac6c1c4ce9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,2,7,0,1,0,11,0,0,0,0,0,0
4f36172052176b6ca5fae96cbce6ca17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
87a0b4ca502173254ec86917c1879d1a,157,197,170,238,182,133,51,97,183,111,188,268,252,298,95,97,207,98,135,155,266,54,119,173,329,345,413,433,328,336,163,157,209,161,390,537,441,418,82,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27d7d2822d60d4f1aec4f5dc16f1667f,0,0,24,18,28,17,0,0,0,0,50,37,19,28,0,0,0,0,0,0,0,0,0,0,53,39,29,31,17,0,0,0,64,58,25,50,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1eb6bea8259b1ce54a6b7cfceccb92e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,0,75,34,0,0,25,0,27,0,0,0,0,0,0
1eab8cb45764c9546e143b8f8d976491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,56,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3897b474b864b5cb1da4c126d217e304,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f0d1e0178d2fd4afa45b0bc0da6a651,0,0,0,0,55,0,0,0,0,0,0,0,0,129,0,0,0,110,95,0,0,67,0,0,33,20,32,23,71,28,0,0,0,0,33,26,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875cdb0f7b384dc90b0bd0afb1a51a20,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,45,33,65,66,28,0,0,41,36,30,37,12,27,32,23,50,21,44,35,34,51,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94a8bfa749ba8f44f0e6e7449e15dc47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,47,0,0,0,0,0,0,0,0
77865009502db27b8259715b25a79e4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,62,0,0
00e27f72a9d6da4595537be102f83db1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,15,0,12,9,0,38,0,22,0,0,24,0,0,12
151020b154d4f042b17f01b52caf0b2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,31,0,11,0,42,21,78,0,0,27,8,0,0,0,0,0,0,0,0,0,25,71,0,55,41,72,57,106
